created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quoted_status,text,favorited_by,scopes,display_text_width,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-10-10T05:48:34Z,1579348140972728300,1579348140972728320,"RT @_RachaelDempsey: Everything I learned about community building from growing up in a bar. 

Cheers! 🍻
blog: https://t.co/BbtYclwUDR
talk…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,15,0,TRUE,FALSE,FALSE,en,NA,NA,,,"RT @_RachaelDempsey: Everything I learned about community building from growing up in a bar. 

Cheers! 🍻
blog: https://t.co/BbtYclwUDR
talk…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:46:21Z,1579347582027169800,1579347582027169792,"RT @beehadi26: Super excited to be curating for @WeAreRLadies this week, starting tomorrow!   

#rstats #rladies",FALSE,112,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,TRUE,5,0,FALSE,FALSE,NA,en,1579094332061220900,1579094332061220864,,,"RT @beehadi26: Super excited to be curating for @WeAreRLadies this week, starting tomorrow!   

#rstats #rladies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:44:53Z,1579347213255598e3,1579347213255598080,"RT @LatinR_Conf: 📣 ¡Tercera charla confirmada!

En esta edición de #LatinR2022 tendremos el agrado de recibir a @gdequeiroz para celebrar l…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,19,0,FALSE,FALSE,NA,es,NA,NA,,,"RT @LatinR_Conf: 📣 ¡Tercera charla confirmada!

En esta edición de #LatinR2022 tendremos el agrado de recibir a @gdequeiroz para celebrar l…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:44:41Z,1579347163641188400,1579347163641188352,RT @RLadiesMelb: We’re very excited for our event this Thursday! Join us to hear @JovMaksimovic  discussing #reproducible analysis using th…,FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,11,0,FALSE,FALSE,NA,en,NA,NA,,,RT @RLadiesMelb: We’re very excited for our event this Thursday! Join us to hear @JovMaksimovic  discussing #reproducible analysis using th…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:44:31Z,1579347122729930800,1579347122729930757,RT @RLadiesAbuja: Have you registered? Don't miss our upcoming webinar with @BeaMilz who is our special guest speaker. https://t.co/3yJKslg…,FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,11,0,FALSE,FALSE,NA,en,NA,NA,,,RT @RLadiesAbuja: Have you registered? Don't miss our upcoming webinar with @BeaMilz who is our special guest speaker. https://t.co/3yJKslg…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-10T05:44:21Z,1579347079318896600,1579347079318896640,"RT @RLadiesParis: 📺The recording video of our last meetup is now available on the YT channel of R-Ladies Global https://t.co/0WcDKv9pPw
@RL…",FALSE,140,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,5,0,FALSE,FALSE,FALSE,en,NA,NA,,,"RT @RLadiesParis: 📺The recording video of our last meetup is now available on the YT channel of R-Ladies Global https://t.co/0WcDKv9pPw
@RL…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-07T14:27:00Z,1578391445635055600,1578391445635055616,"RT @LatinR_Conf: #LatinR2022

Inscripciones abiertas!
Inscrições abertas!
Registrations open!

https://t.co/1f0VtxreOC https://t.co/edGvAFo…",FALSE,140,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,35,0,FALSE,FALSE,FALSE,pt,NA,NA,,,"RT @LatinR_Conf: #LatinR2022

Inscripciones abiertas!
Inscrições abertas!
Registrations open!

https://t.co/1f0VtxreOC https://t.co/edGvAFo…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-07T14:25:21Z,1578391032642867200,1578391032642867200,"RT @rOpenSci: Champions Program important dates:

✍️ Oct 24, 2022. Community Call. Tips for submitting your application https://t.co/BFQlvw…",FALSE,140,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,,TRUE,7,0,FALSE,FALSE,NA,en,1574500086712877e3,1574500086712877101,,,"RT @rOpenSci: Champions Program important dates:

✍️ Oct 24, 2022. Community Call. Tips for submitting your application https://t.co/BFQlvw…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-07T14:24:56Z,1578390926837391400,1578390926837391361,"RT @rOpenSci: Fechas importantes del programa de Campeonas y Campeones:

✍️ 24/10/22. Charla de la comunidad. Consejos para presentar tu so…",FALSE,140,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,,TRUE,4,0,FALSE,FALSE,NA,es,1574500379898921e3,1574500379898920971,,,"RT @rOpenSci: Fechas importantes del programa de Campeonas y Campeones:

✍️ 24/10/22. Charla de la comunidad. Consejos para presentar tu so…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-07T13:39:18Z,1578379442463936500,1578379442463936512,RT @meghansharris: It feels like time is flying by! In a week I'll be leading one of my final #rtistry meetups/talks before I'm gone for a…,FALSE,139,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,,FALSE,5,0,FALSE,FALSE,NA,en,NA,NA,,,RT @meghansharris: It feels like time is flying by! In a week I'll be leading one of my final #rtistry meetups/talks before I'm gone for a…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
